label	target
هذا شخص نصاب ومحتال * -- نعم يا سادة   .	1
هم أغبياء لأنهم لم يتعلموا الدرس من التاريخ  هم **حمير يا سادة   .	1
على  الفرق ان تنتظر للاعوام القادمة  .	0
هل رايت رأفت علي امس	0
والى الامام.	0
بتدأ المارد الاخضر الفوز للموسم الجديد بحصوله على لقب الدرع الثامن فهو اكثر الفرق تحقيقا لبطوله الدرع بدون منازع .	0
أسمى آيات التهاني و التبريكات لأسرة نادي الوحــدات؛ إدارة ولاعبين وجمـــــــــــاهير	0
يا رجعي .	1
أنا أكره السود .	1
أنتم فاشلون وأغبياء	1
يا خائن يا عميل.	1
يا ابن *لب.	1
كتر*.  . . خيرهم هو مطلوب منهم ايه تانى؟؟؟؟؟.	0
حقا أنت مبدع.	0
اولا شكر ل مؤسسة عدالة و المحامي .	0
أنا في قمة الامتنان	0
يا ابن الكلب          .	1
تعذيبهم حلال ويجب أكثر من ذلك	1
كفايـــــه بقى  حرامية يا مرتشين.	1
اللهم يا موفق لكل خير وفق المتفوقين والناجحين والذين لم ينجحوا إلى جمال لحظة الهدى والتقى وسلامة الصدر.	0
ورمضان فرصة، فقدِّم فيها ما يكون لك ظلاً يوم القيامة..	1
نعم للاخلاق.	0
يقول الشــاعر في هذه المناسبة السعيدة:.	0
جزاك الله خيرًا.	0
صباح الغـــد.. وما أحلى الغـــد	0
جميل جدا هذا الحوار .	0
مساء الخير.	0
صباح الورد.	0
سلاما على أهلنا في غزة.	0
لا تنتظر المساعدة من أحد، ولا تنتظر الرد من أحد. 	0
مساء الحب .	0
أهلا برمضان .	0
كل الشكر للكاتب الانيق الرائع على هذه المقاله الجميله.	0
ومع ذلك لم ترد على تعليقي وانشغلت بـ "مختار الصحاح".	0
يا متخلف .	1
عمر المختار مسلسل جميل جدا رحم الله المخرج العقاد.	0
الحمد الله على نعمة المطر 	0
كل الشكر لك .	0
يا حمار  تعلم أدب الحوار .	0
أنت سبب يا يا جاهل .	0
الله يجيرنا من ساعة الغفله ، الله يعافي المصابين .	0
للأسف سياسة الفيسبوك الغبية بتمنع الكلمات يلي ببال .	1
يعني يلي عندو عيلة كل يوم بدو يترك شغلو وينزل يوقف على الفرن ساعات ليجيب ربطة او ربطين فشلة .	1
لا في هذه الحالة ستلغى مقولة بيني وبينك خبز وملح لان كل واحد بياكل من خبزاتوه   .	0
بلد العجايب الخبز صار حصص وين صارت بالعالم كلوا هاد حسبنا الله ونعم الوكيل بس   .	0
يا ريت تعرفوا تقننوا السرقات تبعكم بركي بتتحسن البلد شوي   .	1
اللهم اجعله خيرا لهل العباد .	0
الله يجعلها خير وبركة يارب وفرج على العباد والبلاد .	0
الله يبعث الخير .	0
هو شهر الخير .	0
أخر أيامها الحمد الله أهلاً بالربيع والصيف .	0
ربنا يرحمكوا ويغفرلكوا.	0
كتر خيرهم هو مطلوب منهم ايه تانى؟؟؟؟؟.	0
حقا أنت مبدع.	0
ماعاد شبعوا     .	1
يا جماعة هاد واحد نصاب ومحتال من السعر مين أنو نصاب     .	1
تبارك الرحمن ألف مبروك       .	0
ما عاد شيعوا الله يكون بعون العالم       .	0
الله يرحم ايامنا لامدارس خاصة ولادروس خصوصية ولا أخطاء طبية       .	0
يا قرد تأدب 	1  
طيب وين الرقابة والتفتيش       .	0
المدرس بالمدارس الحكومية كيف عايش  الله يعينهم       .	0
يا رجعي        .	0
أمتى حل ذلك .	0
السلامة لكم .	0
الحمد لله على السلامة .	0
الشعب العربي شعب متخلف .	1
أنت أرهابي وخائن لوطنك .	1
أنت وأمثالك رجعلنا  مية سنة بسبب أفكاركم المتخلفة يلي كلها عقد وضلال .	1  
الله يديم العين الساهره وجزاكم الله كل خير .	0  
القاضي بيرتشة وبيطلعو وبيرجعو يسرقو .	1
جزاكم الله كل خير الله يقويكم عليهن يارب . 	0
حسبي  الله ونعم الوكيل .	0
ان شاء الله كل قرش بحطن على صحتن واولادن  .	1
أما نحن المواطنون فخير الأمور الوسط  .	0
ونحن هون بسوريا مشتهيين قطعة فواكه من الغلا ماعم نقدر نشتري .	0
بالسلامة ان شاءالله  .	0
خيرنا لغيرنا الله يفرج  .	0
يافرحتنا والله وشعبنا عم يحترق بالاسعار  .	0
نحن فريق منقدم خدمة الطباعة ثلاثية الأبعاد  .	0
للبيع بدمر مقابل معمل الاسمنت 3غرف وصالون  .	0
لم تنخفض الأسعار   .	0
طول عمرك حيوان	1
الكفر	1
الله يجبر بخاطرك يا كبير   .	0
أملنا بالله كبير   .	0
أنت ساذج لا علم لك كيف يفكر الأشقياء    .	1
أطفال غزة هم طيور الجنة      .	0
يا فتاح يا عليم شو هاد     .	0
وهذا النصر الذي وعد الله به عباده المؤمنين      .	0
الله لا يرحمكن الناس جاعت          .	1
الله يكسر أيدكم على هيك قرارات         .	1
هي المدرسة مديرها واحد تافه ومفكر حالة شغلة         .	1
نشأ الله ألف مبارك اخي الغالي نشأ الله خطوبة العمر يارب ❤️         .	0
ان لله وإن إليه راجعون: بقضاء الله وقدره انعي إليكم وفاة الأخ والصديق والجار المرحوم     .	0
حسبناالله ونعم الوكيل يارب حالنا لا يخفى عليك .	0
أنت واحد قذر    	0
جزاك الله خيرًا.	0
صباح الغـــد.. وما أحلى الغـــد	0
يقول الشــاعر في هذه المناسبة السعيدة:.	0
اللهم يا موفق لكل خير وفق المتفوقين والناجحين والذين لم ينجحوا إلى جمال لحظة الهدى والتقى وسلامة الصدر.	0
ورمضان فرصة، فقدِّم فيها ما يكون لك ظلاً يوم القيامة..	1
نعم للاخلاق.	0
هو شخص رائع.	0
افتحولنا هالحدود وخلينا نطفش ونسامحكن بهالبلد .شو سياسة التضييق والتخنيق .قرفتونا	1
لعما لسه ماتسممنا القهوة كملوا القرارت الاخرى	1
ارحموا الناس الله لا يرحمكن .	0
مو ناقص الا هيك .	0
كل الشكر    .	0
الشتاء قادم.الله يبعت الخير .	0
صعب والله يقننو السرقات بموتو بعدين .	1
الله يفرج ، الناس ملت وجاعت .	0
ههههههههههه بدهم يعملو كبسولات ٣ مرا بلنهار .	1
المخدارات تريح الشخص ههه        .	1
القتل ثم القتل ما هذا  .	1
وفقك الله   .	0
الحمد لله الذي عجل الفرج  .	0
يحق للشعب الفلسطيني الدفاع عن ارضه.	0
اولا شكر ل مؤسسة عدالة و المحامي .	0
أنا في قمة الامتنان	0
جزاك الله خيرًا.	0
أنا أكره السود .	1
يا خائن يا عميل.	1
يا ابن *لب.	1
اللعنة 	1
الدعارة.	1
يا ولاد الكلب أنتم السبب   .	1
ما هذا الهراء  .	1
شو سعر القطعة   .	0
أتقي  الله يا أبني  .	1
لا حول ولاقوة الا بالله   .	0
ايا عيب شوم لك جوعتو الشعب يا عيب شوم عليكم .	1
أنت رجل غبي.	1
كل الشكر للكاتب الانيق الرائع على هذه المقاله الجميله.	0
لا تنتظر المساعدة من أحد، ولا تنتظر الرد من أحد	0
يا حمار  تعلم أدب الحوار 	1
أنت وأمثالك سبب تخلفنا	1
الحمد الله على نعمة المطر 	0
كل الشكر لك 	0
ان شاء الله فوز لنا  	0
شعب وسخ   .	1

سلاما على أهلنا في غزة.	0
لا بارك الله في جهودك      .	1
أنت واحد جبان المرة الماضية هربت       .	1
والله هالشعب بدو حرق ما في رحمة لبعضو       .	1
التجار ماعم يشبعوووو سرقة من المواطن على عينك يا تاجر عم ينسرق المواطن بحجة رفع الاسعار ....لانو التاجر بيعرف انو مافي قانون يحطوا عند حدو   .	1
شكلك بنت ليل       .	1
الله لا يشبعك شو محتال          .	1
المخدارات هي الحل        .	1
دعاره تحت مسمى طلب فتيات للعمل        .	1
تعاطي المخدرات، هي تعاطي عقار ما بكميات كبيرة         .	1
شاء الله الفوز لنا انا متأكد         .	1
قانون جيد جدا وحضاري لكن للاسف لا يطبق الا على الضعيف وليس في كل الاماكن ..فعند ذهابي الى دائرة حكومية... كانت هناك لافتات بمنع التدخين ولم يكن احد من المراجعين يدخن والذي يريد التدخين يخرج من القاعة الا ان الموظفين الجاعصين على المكاتب كل منهم سيجارته بيده..هل يسمح القانون بذلك؟ و.	1
مساء الحب .	0
شكلك هربان من العصور الوسطى              .	1
شكلك هربان من مشف المجانين                .	1
واحد جوعان ما بيشبع                 .	1
اللهم من يحرمنا من خير بلدنا لغيرنا احرمه الراحة و الصحة و البركة  .	1
الألم والإذلال والخوف والصمت نعم يا سادة   .	1
اخو ال0شرموطه روح شوف شكلك   .	1
أهلا برمضان 	0
اللعنة 	1
الدعارة 	1
أنت رجل غبي.	1
تعذيبهم حلال ويجب أكثر من ذلك	1
كفايـــــه بقى  حرامية يا مرتشين.	1
يا قدر تأدب 	1
المخدارات هي الحل        .	1
دعاره تحت مسمى طلب فتيات للعمل        .	1
تعاطي المخدرات، هي تعاطي عقار ما بكميات كبيرة         .	1
شاء الله الفوز لنا انا متأكد         .	1
قانون جيد جدا وحضاري لكن للاسف لا يطبق الا على الضعيف وليس في كل الاماكن ..فعند ذهابي الى دائرة حكومية... كانت هناك لافتات بمنع التدخين ولم يكن احد من المراجعين يدخن والذي يريد التدخين يخرج من القاعة الا ان الموظفين الجاعصين على المكاتب كل منهم سيجارته بيده..هل يسمح القانون بذلك؟ و.	1
مساء الحب .	0
